actual,proposed
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.5047553777694702,0.0
-0.5334346294403076,0.0
-0.6584733724594116,-0.32299545407295227
-0.8094598054885864,-0.47607043385505676
-0.8094598054885864,-0.4790925979614258
-0.9013134241104126,-0.5365492105484009
-0.9013134241104126,-0.5723960995674133
-0.9498987197875977,-0.5741884708404541
-0.9785101413726807,-0.605128288269043
-1.0357328653335571,-0.6597303748130798
-1.1242015361785889,-0.7150917053222656
-1.1758229732513428,-0.7160486578941345
-1.2197520732879639,-0.7768482565879822
-1.293849229812622,-0.7906240820884705
-1.3500326871871948,-0.822321355342865
-1.3500326871871948,-0.8577869534492493
-1.3728179931640625,-0.8595602512359619
-1.4183887243270874,-0.8740925788879395
-1.460633635520935,-0.9284884333610535
-1.4776839017868042,-0.9299020767211914
-1.5581316947937012,-0.9676074981689453
-1.609125018119812,-1.0025503635406494
-1.6443140506744385,-1.0240964889526367
-1.6443140506744385,-1.0453544855117798
-1.6612657308578491,-1.0464173555374146
-1.7489067316055298,-1.1122276782989502
-1.7827565670013428,-1.133148431777954
-1.8109647035598755,-1.134246826171875
-1.8437180519104004,-1.155017614364624
-1.8437180519104004,-1.1719828844070435
-1.8662023544311523,-1.1870803833007812
-1.8949096202850342,-1.187597393989563
-1.9228581190109253,-1.2052549123764038
-1.9345462322235107,-1.2221091985702515
-1.9625020027160645,-1.2300238609313965
-1.9625020027160645,-1.2471894025802612
-1.973684310913086,-1.2480477094650269
-1.973684310913086,-1.2548142671585083
-1.9915574789047241,-1.2559757232666016
-2.0302822589874268,-1.2897578477859497
-2.03008770942688,-1.29086434841156
-2.057595729827881,-1.3073923587799072
-2.085103750228882,-1.3082188367843628
-2.085103750228882,-1.3247874975204468
-2.096106767654419,-1.3322259187698364
-2.10052752494812,-1.3325978517532349
-2.10052752494812,-1.335271954536438
-2.1331779956817627,-1.335405707359314
-2.149503469467163,-1.3662972450256348
-2.1505322456359863,-1.3669885396957397
-2.1827099323272705,-1.3670231103897095
-2.1827099323272705,-1.3863435983657837
-2.198798656463623,-1.3873095512390137
-2.2245476245880127,-1.3970153331756592
-2.2566323280334473,-1.4129542112350464
-2.2566323280334473,-1.434055209159851
-2.272674798965454,-1.4436815977096558
-2.283029794692993,-1.4441628456115723
-2.325504779815674,-1.4503982067108154
